Id,Class,Order,Brand,Model,Rarity,Stars,Max Rank,Epics,Obtainable via,Garage Lv,Top Speed,Acceleration,Handling,Nitro,Nitro TS,Perfect nitro TS,Added,Added with,Added date,Total upgrade cost,Total GL points,Country,Tags,BPs 1*,BPs 2*,BPs 3*,BPs 4*,BPs 5*,BPs 6*,Total BPs,,Cost epic
1,D,1,Mitsubishi,Lancer Evolution,Uncommon,3,1381,0,GL01,1,"270,1","55,03","53,79","68,19",282,,Soft Launch,Starter car,26/02/2018,,,Japan,Asia,5,8,30,,,,43,11381,6000
2,D,2,BMW,Z4 LCI E89,Uncommon,3,1476,0,GL01,1,"266,8","68,86","47,43","57,49",278,,Soft Launch,,26/02/2018,,,Germany,Europe,5,8,45,,,,58,11476,6000
3,D,3,Chevrolet,Camaro LT,Uncommon,3,1546,0,GL01,1,"284,1","64,81","48,39","63,29",296,,Soft Launch,,26/02/2018,,,USA,Muscle,5,12,30,,,,47,11546,6000
76,D,4,Nissan,Leaf Nismo RC,Uncommon,3,1569,0,TC,,"244,5","78,87","59,91","65,03",255,277,Godly Beasts,,10/12/2019,,,Japan,Asia; Electric,15,25,55,,,,95,11569,6000
4,D,5,Nissan,370Z Nismo,Uncommon,3,1662,0,GL02,2,"268,5","66,61","81,83","67,07",280,,Soft Launch,,26/02/2018,,,Japan,Asia,10,12,30,,,,52,11662,6000
206,D,6,KTM,X-Bow GTX,Uncommon,3,1738,0,,,"247,5","83,84","64,99","66,99",,,European Season (2023),,30/03/2023,,,Austria,,30,23,54,,,,107,11738,
5,D,7,Volkswagen,XL Sport Concept,Uncommon,3,1814,0,GL03,3,"291,2","60,31","62,02","61,94",,,Soft Launch,,26/02/2018,,,Germany,Europe,20,12,30,,,,62,11814,6000
6,D,8,DS Automobiles,DS E-Tense,Uncommon,3,1976,0,GL02,2,"270,1","76,07","81,27","72,3",282,,Soft Launch,,26/02/2018,,,France,Electric; Europe,20,12,30,,,,62,11976,6000
7,D,9,Dodge,Challenger 392 Hemi Scat Pack,Uncommon,3,2144,0,GL03,3,"299,3","72,46","43,24","62,34",312,,Soft Launch,,26/02/2018,,,USA,Muscle,20,12,30,,,,62,12144,6000
175,D,10,Renault,DeZir,Rare,4,2213,4,Showroom,23,"293,2","65,56","69,43","68,44",,,Bring the Heat,DS,25/07/2022,,,France,Europe,30,23,33,42,,,128,12213,0
124,D,11,Italdesign,DaVinci,Rare,4,2217,4,,41,"278,3","83,53","73,57","55,35",,,Italian Season,MP 1v1,08/04/2021,,,Italy,Electric; Europe,30,23,33,42,,,128,12217,0
112,D,12,BMW,I8 Roadster,Rare,4,2247,4,Showroom,23,"278,3","79,72","78,61","66,88",290,299,Full Throttle,DS,10/12/2020,,,Germany,Europe; Hybrid,30,23,33,42,,,128,12247,0
184,D,13,Peugeot,SR1,Rare,4,2307,4,Car Hunt,,"310,5","71,51","52,39","31,19",,,Around the World,Car Hunt,03/04/2022,,,France,,30,23,33,42,,,128,12307,6000
244,D,14,Porsche,911 Carrera RS 3.8,Rare,4,2339,4,,,"296,9","70,52","65,24","35,55",,,West to East,LP car,17/04/2024,,,Germany,,30,23,33,42,,,128,12339,
8,D,15,Porsche,718 Cayman,Rare,4,2360,4,GL04,4,"295,7","70,52","61,91","60,26",308,,Soft Launch,,26/02/2018,,,Germany,Europe,25,8,14,28,,,75,12360,6000
119,D,16,Infiniti,Project Black S,Rare,4,2386,4,Showroom,21,"281,2","76,19","66,97","64,68",,,Fire and Lightning,Car Hunt,03/02/2021,,,Japan,Asia; Hybrid,30,23,33,42,,,128,12386,6000
50,D,17,Lotus,Elise Sprint 220,Rare,4,2390,4,GL05,5,270,"82,25","83,47","72,71",282,,Community Update,,03/10/2018,,,UK,Europe,10,12,18,28,,,68,12390,6000
169,D,18,Lamborghini,Countach 25th Anniversary,Rare,4,2498,4,,21,"304,9","71,69","55,89","36,3",,,Raging Bull Season,Free LP car,30/05/2022,,,Italy,Europe,30,23,33,42,,,128,12498,0
9,D,19,Ford,Shelby GT350R,Rare,4,2548,4,GL06,6,"299,9","75,06","58,97","52,93",,,Soft Launch,,26/02/2018,,,USA,Muscle,20,8,14,28,,,70,12548,6000
62,D,20,Porsche,911 Targa 4S,Rare,4,2589,4,GL03,3,"315,1","75,37","41,57","38,35",,,Summer,DS,18/06/2019,,,Germany,Europe,30,23,33,42,,,128,12589,6000
157,D,21,Lotus,Emira,Rare,4,2611,4,Showroom,22,"307,2","70,87","57,45","53,42",,,British Tour,Car Hunt,07/02/2022,,,UK,Europe; Super Car,30,23,33,42,,,128,12611,0
191,D,22,Praga,R1,Rare,4,2625,4,,,"283,3","87,8","62,25","60,92",,,Winterfest,DS,12/12/2022,,,Czech Republic,,30,23,33,42,,,128,12625,
63,D,23,Ginetta,G60,Rare,4,2646,4,GL04,4,"290,7","71,51","74,81","62,66",,,Summer,DS,18/06/2019,,,UK,Europe,30,23,33,42,,,128,12646,6000
144,D,24,Renault,TreZor,Rare,4,2667,4,Showroom,41,"294,5","78,62","61,93","61,07",,,Electric Season,LP car,23/09/2021,,,France,Electric; Europe,30,23,33,42,,,128,12667,0
219,D,25,Nissan,370Z Neon Edition,Rare,4,2675,4,,,"271,1","83,26","82,91","65,22",,,Racing Through Fire,DS,24/07/2023,,,Japan,,30,23,33,42,,,128,12675,
82,D,26,Honda,Civic Type-R,Rare,4,2698,4,Showroom,,"285,3","82,09","68,41","62,55",,,Grand Prix,Car Hunt,05/02/2020,,,Japan,Asia,30,23,33,42,,,128,12698,6000
